avgTemp,minTemp,maxTemp,rainFall,avgPrice
15.5,9.1,23.1,0,2292
16.5,10.5,24.5,0,2289
16.1,10.8,23.8,0,2378
15,8.5,21.5,0,2345
16.7,10.9,24.6,0,2177
14.4,12.4,16.1,9.8,2220
15.7,11.8,20.6,5.3,2220
15.5,10.8,20.4,0.4,2220
13,7.2,19.1,0,2376
9.8,3.3,17.9,0,2299
12.3,4.1,21.1,0,2282
15,9.1,21.4,0,2250
15.9,11.5,20.1,9.1,2225
15.2,11.9,19,22,2225
14.7,10.1,19.7,0,2225
14.2,11,17,1.9,2207
8.6,3.8,13.5,0,2208
8,1,16.5,0,2208
10.8,3.5,19.4,0,2209
13,7.7,20.2,0,2217
13.3,10,17.1,2.3,2217
14.1,9.8,19.6,0.3,2217
13.2,7.3,21.2,0,1999
14.9,8.1,22.3,0,1973
16.3,12.5,22.1,0.1,1959
17.2,12.1,23.8,0,1921
18.7,14,23.8,2.3,1900
18.9,16.2,23.4,21.1,1900
16.2,14.5,19,9,1900
15.5,13.3,19.2,0.3,1834
14.3,11.8,17.6,1.1,1796
13.7,11.4,16.6,0.8,1741
13.4,10.1,16.9,0.1,1611
12.4,9.3,16.6,1.9,1480
11.7,7.7,17,0,1480
11.7,7.5,17,0,1480
8,3.5,13.5,0,1470
7,1.7,14,0,1415
9.1,1.7,17,0,1342
11.9,6.8,15.7,1,1197
14.5,11.4,17.5,20.6,1168
13.2,7.6,18.1,6.3,1168
3.9,0.9,7.7,0,1168
2.7,-1.8,8.4,0,1146
5,-1.1,9.2,0.2,1131
5.5,1.9,10.4,5.2,1135
1.9,-1.7,5.9,0,1122
2.9,-1.8,9.3,0,1129
5.9,-0.9,12.5,0,1129
10.7,5.2,17.5,0.1,1129
12,7.8,18.2,0.4,1101
11.8,8.2,16.6,2.4,1093
8,5,11.5,29.7,1106
6,4.3,8.2,1.6,1106
6.5,3,9.4,2.6,1106
6.3,3.2,9.6,7,1106
4.9,0.9,9,0,1106
2.8,-1.7,8.2,0,1189
4.6,1.6,9.2,0.2,1181
5.7,2.4,9.1,0,1181
3.3,-0.5,7.4,1.7,1141
-0.6,-3,2.7,1.5,1132
-0.5,-4.7,3.4,0.5,1132
3.5,-0.5,7,0,1132
4.4,-0.5,9.5,0,1149
2.2,-3.4,9.8,0,1133
3.9,-2.8,10,0,1133
0.1,-3.9,5.3,0,1193
